"bim_construction_label","n_projects","mean_delay_months","median_delay_months","sd_delay_months","min_delay_months","max_delay_months"
"No BIM",3,4.66666666666667,8,9.45163125250522,-6,12
"BIM",5,4.6,0,8.82043082847998,-1,20
