"bim_construction_label","n_projects","mean_overrun","median_overrun","sd_overrun","min_overrun","max_overrun"
"No BIM",3,0,0,0,0,0
"BIM",5,0.352206980216499,0,0.783847169043058,0,1.75438596491228
