"model","nobs","r.squared","adj.r.squared","AIC","BIC"
"M1: Stage only",105,0.0923172161689991,0.0653563414017416,182.8562075783,196.126009329088
"M2: Stage + effect type",105,0.100797642434769,0.0648295481321601,183.870587324064,199.794349425009
"M3: + country",105,0.69420794809553,0.638609393203808,94.6172934309181,142.388579733754
"M4: + country + year",105,0.694325677665577,0.634596212381839,96.576860774182,147.002107427175
"M5: + DCF groups + year",105,0.387672672820484,0.343484102817839,149.525270446573,173.41091359799
