"item","value"
"Number of valid PPP projects in scenario layer",3
"Mean baseline NPV",-2926.43270244206
"Mean actual-scenario NPV gain (base scenario)",3.27196532687632
"Mean hypothetical-scenario NPV gain (base scenario)",22.9654019555948
