"metric","value"
"Mean baseline NPV",-2926.43270244206
"Mean value efficiency",30.0315372630281
"Mean value of risk reduction",0.236402955844217
"Mean central real-option value",1.34171471688572
"Mean total value (central)",-2894.8230475063
"Mean total value (lower bound)",-2896.16041778053
"Mean total value (upper bound)",-2889.91085433686
