"id","project_name","n_sims","npv_base","mean_npv_sim","median_npv_sim","sd_npv_sim","p05_npv_sim","p50_npv_sim","p95_npv_sim","prob_npv_neg","mean_npv_gain","median_npv_gain"
"RU-001","Toll road M11 (543-646 km and 646-684 km)",10000,-1052.6798341562,-1051.68937277994,-1051.78973252067,0.575328137426985,-1052.60445894024,-1051.78973252067,-1050.53501093806,1,0.990461376258982,0.89010163552507
"RU-002","Toll road WHSD",10000,-7517.52491040228,-7519.31895951008,-7519.12410769665,1.03781078521831,-7521.37839785859,-7519.12410769665,-7517.66033296145,1,-1.79404910779992,-1.59919729437206
"RU-005","Pulkovo Airport",10000,-209.093362767704,-118.195163247079,-128.281687144508,52.101482172823,-202.250102112521,-128.281687144508,-14.3664335551828,1,90.8981995206253,80.8116756231964
